_id,id,airline-code,airline-name,flightLegs-aircraft-ownerAirlineCode,flightLegs-aircraft-typeCode,flightLegs-arrivalInformation-airport-city-country-areaCode,flightLegs-arrivalInformation-airport-city-country-code,flightLegs-arrivalInformation-airport-city-country-name,flightLegs-arrivalInformation-airport-code,flightLegs-arrivalInformation-airport-location-latitude,flightLegs-arrivalInformation-airport-location-longitude,flightLegs-arrivalInformation-times-actual,flightLegs-arrivalInformation-times-actualTouchDownTime,flightLegs-arrivalInformation-times-estimated-value,flightLegs-arrivalInformation-times-latestPublished,flightLegs-arrivalInformation-times-scheduled,flightLegs-departureInformation-airport-city-country-areaCode,flightLegs-departureInformation-airport-city-country-code,flightLegs-departureInformation-airport-city-country-name,flightLegs-departureInformation-airport-code,flightLegs-departureInformation-airport-location-latitude,flightLegs-departureInformation-airport-location-longitude,flightLegs-departureInformation-airport-places-departurePositionTerminal-boardingTerminal,flightLegs-departureInformation-airport-places-departurePositionTerminal-gateNumber,flightLegs-departureInformation-times-actual,flightLegs-departureInformation-times-actualTakeOffTime,flightLegs-departureInformation-times-latestPublished,flightLegs-departureInformation-times-scheduled,flightLegs-irregularity-delayDuration,flightLegs-irregularity-delayInformation-delayReasonPublicLong,flightLegs-irregularity-delayInformation-delayReasonPublicShort,flightLegs-irregularity-delayReason,flightLegs-scheduledFlightDuration,flightLegs-serviceType,flightNumber,flightStatusPublic,flightLegs-status,flightLegs-arrivalInformation-airport-places-arrivalPositionTerminal,flightLegs-irregularity-delayDuration-total
6900d152be9ad5e05baf37da,20250606+SK+1209,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,EMJ,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-06T12:10:00.000+02:00,2025-06-06T12:04:00.000+02:00,2025-06-06T12:10:00.000+02:00,2025-06-06T12:10:00.000+02:00,2025-06-06T12:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B6,2025-06-06T11:23:00.000+02:00,2025-06-06T11:33:00.000+02:00,2025-06-06T11:23:00.000+02:00,2025-06-06T11:20:00.000+02:00,,,,,PT45M,J,1209,ARRIVED,,,
6900d152be9ad5e05baf37db,20250606+SK+1213,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-06T13:59:00.000+02:00,2025-06-06T13:54:00.000+02:00,2025-06-06T13:59:00.000+02:00,2025-06-06T13:59:00.000+02:00,2025-06-06T13:55:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A6,2025-06-06T13:09:00.000+02:00,2025-06-06T13:24:00.000+02:00,2025-06-06T13:09:00.000+02:00,2025-06-06T13:10:00.000+02:00,,,,,PT45M,J,1213,ARRIVED,,,
6900d152be9ad5e05baf37dc,20250606+SK+1217,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-06T16:59:00.000+02:00,2025-06-06T16:55:00.000+02:00,2025-06-06T16:59:00.000+02:00,2025-06-06T16:59:00.000+02:00,2025-06-06T17:05:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,D1,2025-06-06T16:14:00.000+02:00,2025-06-06T16:26:00.000+02:00,2025-06-06T16:14:00.000+02:00,2025-06-06T16:20:00.000+02:00,,,,,PT45M,J,1217,ARRIVED,,,
6900d152be9ad5e05baf37dd,20250606+SK+1203,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-06T18:16:00.000+02:00,2025-06-06T18:12:00.000+02:00,2025-06-06T18:16:00.000+02:00,2025-06-06T18:16:00.000+02:00,2025-06-06T18:15:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,A12,2025-06-06T17:23:00.000+02:00,2025-06-06T17:44:00.000+02:00,2025-06-06T17:23:00.000+02:00,2025-06-06T17:30:00.000+02:00,,,,,PT45M,J,1203,ARRIVED,,,
6900d152be9ad5e05baf37de,20250606+SK+1219,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),WX,CRJ,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-06T20:45:00.000+02:00,2025-06-06T20:40:00.000+02:00,2025-06-06T20:45:00.000+02:00,2025-06-06T20:45:00.000+02:00,2025-06-06T20:40:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B16,2025-06-06T19:58:00.000+02:00,2025-06-06T20:09:00.000+02:00,2025-06-06T19:58:00.000+02:00,2025-06-06T19:55:00.000+02:00,,,,,PT45M,J,1219,ARRIVED,,,
6900d152be9ad5e05baf37df,20250606+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,,2025-06-07T00:08:00.000+02:00,2025-06-07T00:10:00.000+02:00,2025-06-07T00:10:00.000+02:00,2025-06-06T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B10,2025-06-06T23:17:00.000+02:00,2025-06-06T23:37:00.000+02:00,2025-06-06T23:17:00.000+02:00,2025-06-06T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
6900d152be9ad5e05baf37e0,20250607+SK+1213,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32S,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-07T15:53:00.000+02:00,2025-06-07T15:47:00.000+02:00,2025-06-07T15:53:00.000+02:00,2025-06-07T15:53:00.000+02:00,2025-06-07T13:55:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B8,2025-06-07T15:08:00.000+02:00,2025-06-07T15:17:00.000+02:00,2025-06-07T15:08:00.000+02:00,2025-06-07T13:10:00.000+02:00,,,,,PT45M,J,1213,ARRIVED,,,
6900d152be9ad5e05baf37e1,20250607+SK+1215,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),WX,CRJ,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-07T16:05:00.000+02:00,2025-06-07T15:59:00.000+02:00,2025-06-07T16:05:00.000+02:00,2025-06-07T16:05:00.000+02:00,2025-06-07T16:15:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,B10,2025-06-07T15:21:00.000+02:00,2025-06-07T15:30:00.000+02:00,2025-06-07T15:21:00.000+02:00,2025-06-07T15:30:00.000+02:00,,,,,PT45M,J,1215,ARRIVED,,,
6900d152be9ad5e05baf37e2,20250607+SK+1203,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),TF,ATR,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-07T18:21:00.000+02:00,2025-06-07T18:16:00.000+02:00,2025-06-07T18:21:00.000+02:00,2025-06-07T18:21:00.000+02:00,2025-06-07T18:25:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,E4,2025-06-07T17:31:00.000+02:00,2025-06-07T17:39:00.000+02:00,2025-06-07T17:31:00.000+02:00,2025-06-07T17:30:00.000+02:00,,,,,PT55M,J,1203,ARRIVED,,,
6900d152be9ad5e05baf37e3,20250607+SK+1225,SK,SCANDINAVIAN AIRLINES SYSTEM (SAS),SK,32N,E,DK,DENMARK,AAL,57.0931,9.85,2025-06-07T23:57:00.000+02:00,2025-06-07T23:51:00.000+02:00,2025-06-07T23:57:00.000+02:00,2025-06-07T23:57:00.000+02:00,2025-06-07T23:50:00.000+02:00,E,DK,DENMARK,CPH,55.6081,12.6333,3,E4,2025-06-07T23:06:00.000+02:00,2025-06-07T23:23:00.000+02:00,2025-06-07T23:06:00.000+02:00,2025-06-07T23:05:00.000+02:00,,,,,PT45M,J,1225,ARRIVED,,,
