,precision,recall,f1-score,support
]000;005],0.3558282208588957,0.00870609426598619,0.016996336996336996,6662.0
]005;015],0.35374149659863946,0.8372236345427934,0.4973457807065715,12981.0
]015;030],0.28481523317734386,0.1822782195600537,0.22229219143576825,9683.0
]030;060],0.29473684210526313,0.10885167464114832,0.15898667831404237,6688.0
]060;120],0.0,0.0,0.0,1835.0
]120;240],0.0,0.0,0.0,1524.0
]240;360],0.0,0.0,0.0,180.0
accuracy,0.33926630091269944,0.33926630091269944,0.33926630091269944,0.33926630091269944
macro avg,0.18416025610573458,0.16243708900142595,0.12794585535038844,39553.0
weighted avg,0.2955910266620768,0.33926630091269944,0.24739042223493693,39553.0
