,precision,recall,f1-score,support
]000;005],0.2776085300837776,0.21885319723806665,0.24475407084102735,6662.0
]005;015],0.36201693760342646,0.5729912949695709,0.443702090852149,12981.0
]015;030],0.2927570854598762,0.2784261076112775,0.2854118145246665,9683.0
]030;060],0.25928588545410974,0.1617822966507177,0.19924500506399043,6688.0
]060;120],0.07453416149068323,0.006539509536784741,0.012024048096192385,1835.0
]120;240],0.15763546798029557,0.02099737532808399,0.03705848291835553,1524.0
]240;360],0.0,0.0,0.0,180.0
accuracy,0.32154324577149646,0.32154324577149646,0.32154324577149646,0.32154324577149646
macro avg,0.20340543829602412,0.17994139733350023,0.17459935889948303,39553.0
weighted avg,0.290613794008309,0.32154324577149646,0.2923920539890545,39553.0
