,precision,recall,f1-score,support
]000;005],0.29527162977867205,0.1762233563494446,0.22071818010904307,6662.0
]005;015],0.365972641319654,0.5605885524998074,0.44284192910390996,12981.0
]015;030],0.28514337096613046,0.2947433646597129,0.28986390412350194,9683.0
]030;060],0.24910322837783977,0.1869019138755981,0.21356569280710747,6688.0
]060;120],0.07407407407407407,0.011989100817438692,0.020637898686679174,1835.0
]120;240],0.13256484149855907,0.030183727034120734,0.04917156600748263,1524.0
]240;360],0.0,0.0,0.0,180.0
accuracy,0.31914140520314516,0.31914140520314516,0.31914140520314516,0.31914140520314516
macro avg,0.20030425514498992,0.18009000217658894,0.1766855958339606,39553.0
weighted avg,0.290314030576232,0.31914140520314516,0.2924390854142938,39553.0
