,flightLegs-arrivalInformation-airport-code,flightLegs-departureInformation-airport-code,_id
248,ATH,ORY,131
440,BUD,CDG,131
391,BLQ,CDG,131
1463,PMI,MAD,130
838,GOA,AMS,130
811,FSC,CDG,130
784,FCO,PMO,130
1362,ORY,NCE,129
569,CDG,SPU,129
515,CDG,IBZ,129
712,DUS,CDG,129
197,AMS,TFS,129
485,CDG,BUD,128
595,CDG,ZAG,128
479,CDG,BLQ,128
504,CDG,FSC,127
583,CDG,VLC,127
428,BRU,CDG,127
549,CDG,OPO,126
531,CDG,LUX,126
226,ARN,LLA,126
558,CDG,PUF,125
798,FLR,ORY,125
1261,NCE,ORY,125
507,CDG,GLA,125
482,CDG,BRS,125
495,CDG,DUS,124
635,CPH,AAL,124
426,BRS,CDG,124
665,CTA,AMS,123
668,CTA,LIN,123
492,CDG,DBV,123
1364,ORY,OPO,123
677,DBV,CDG,122
47,AJA,LYS,122
572,CDG,SVQ,122
844,GOT,CDG,122
832,GLA,CDG,121
491,CDG,CTA,121
476,CDG,BIO,121
1155,MAN,AMS,121
227,ARN,MMX,121
544,CDG,NCL,120
639,CPH,ARN,120
1231,MUC,AMS,120
469,CDG,BEG,120
511,CDG,HAJ,120
508,CDG,GOT,120
315,BEG,CDG,120
374,BIO,CDG,120
240,ARN,VBY,119
382,BIQ,ORY,119
1308,ORY,BCN,119
108,AMS,FNC,119
521,CDG,KRK,119
473,CDG,BGO,119
666,CTA,CDG,118
676,DBV,AMS,118
478,CDG,BLL,118
537,CDG,MLA,118
579,CDG,TRN,118
388,BLL,CDG,118
742,FAE,CPH,118
484,CDG,BSL,118
433,BSL,CDG,118
710,DUB,ORY,117
799,FNC,AMS,117
36,AHO,FCO,117
813,FSC,MRS,117
104,AMS,EXT,117
768,FCO,FLR,117
759,FCO,BDS,116
762,FCO,BRI,116
376,BIO,ORY,116
842,GOT,ARN,116
636,CPH,AAR,116
238,ARN,UME,115
422,BRI,FCO,115
650,CPH,SVG,115
23,AES,BGO,115
644,CPH,FAE,115
761,FCO,BLQ,114
781,FCO,NCE,114
797,FLR,FCO,114
392,BLQ,FCO,114
754,FCO,AHO,114
678,DBV,ORY,114
223,ARN,HEL,114
560,CDG,RIX,114
423,BRI,LIN,113
342,BGO,CDG,113
311,BDS,FCO,113
37,AHO,LIN,113
789,FCO,SUF,112
839,GOA,FCO,112
308,BCN,MAD,112
780,FCO,NAP,112
793,FCO,VCE,112
770,FCO,GOA,112
775,FCO,LIN,112
653,CPH,TRD,111
441,BUD,ORY,111
421,BRI,CDG,111
356,BGO,TRF,111
655,CPH,VNO,111
1656,SVG,BGO,111
791,FCO,TRN,110
312,BDS,LIN,110
235,ARN,TLL,110
481,CDG,BRI,110
620,CLJ,OTP,110
645,CPH,HEL,110
606,CFU,ORY,109
234,ARN,TKU,109
814,FSC,NCE,109
792,FCO,TRS,109
229,ARN,OSD,108
649,CPH,PLQ,108
651,CPH,TLL,108
546,CDG,NUE,108
647,CPH,KRS,107
570,CDG,STR,107
790,FCO,TIA,106
1061,LIS,AMS,106
1943,ZRH,AMS,104
84,AMS,BRI,103
603,CFU,AMS,101
232,ARN,SDL,101
1232,MUC,CDG,100
1407,OSL,AMS,100
1038,LIN,AMS,97
115,AMS,GRO,96
239,ARN,VAA,91
527,CDG,LJU,88
1196,MRS,CDG,88
802,FNC,ORY,87
337,BGO,ABZ,86
757,FCO,ATH,85
1786,VIE,CDG,85
1332,ORY,FCO,84
1042,LIN,CDG,84
548,CDG,OLB,84
1808,WAW,AMS,84
1785,VIE,AMS,83
1719,TLS,ORY,82
646,CPH,KEF,82
149,AMS,MJT,82
1156,MAN,CDG,81
1311,ORY,BIA,79
1394,ORY,TLS,79
1098,LYS,AMS,79
1023,LGW,AMS,79
550,CDG,ORK,78
192,AMS,STN,78
1475,PRG,AMS,78
1087,LTN,AMS,77
334,BFS,AMS,76
819,FUE,AMS,76
92,AMS,CHQ,76
1301,ORY,AJA,76
1457,PMI,AMS,76
1412,OSL,CDG,75
1024,LGW,CDG,75
245,ATH,FCO,75
614,CHQ,ORY,75
42,AJA,CDG,74
142,AMS,LPL,73
862,GVA,AMS,73
424,BRI,ORY,72
464,CDG,AJA,72
241,ARN,VNO,72
102,AMS,EFL,70
1715,TLS,CDG,70
738,EXT,AMS,66
1789,VLC,AMS,66
188,AMS,SOF,65
1062,LIS,CDG,64
1809,WAW,CDG,64
1775,VCE,CDG,63
1252,NCE,AMS,63
886,HEL,CDG,63
1299,ORY,AGP,62
1944,ZRH,CDG,62
919,IBZ,AMS,62
987,KRK,AMS,61
1464,PMI,ORY,61
568,CDG,SOF,60
1649,STR,AMS,58
669,CTA,ORY,58
1431,OTP,CDG,57
1263,NCL,AMS,57
1302,ORY,ALC,57
1427,OTP,AMS,57
1948,ZTH,AMS,56
884,HEL,AMS,56
1655,SVG,AMS,56
1369,ORY,PMI,56
555,CDG,PMO,55
1290,OPO,AMS,55
846,GRO,AMS,55
869,HAM,AMS,54
863,GVA,CDG,54
778,FCO,MLA,54
198,AMS,TIA,54
1476,PRG,CDG,53
1274,NUE,AMS,52
66,AMS,AMS,51
1088,LTN,CDG,51
1144,MAD,PMI,51
1494,PVK,AMS,50
1075,LPA,AMS,50
1147,MAD,VGO,49
924,IBZ,ORY,49
14,ACE,AMS,48
870,HAM,CDG,48
1236,MXP,CDG,48
1399,ORY,VLC,48
1011,LCG,MAD,47
1340,ORY,IBZ,47
1784,VGO,MAD,47
899,HER,CDG,47
1104,LYS,CDG,47
1630,SMI,AMS,47
1684,TFN,MAD,46
898,HER,AMS,45
1459,PMI,CDG,45
60,AMS,ACE,45
961,KEF,CDG,44
1278,NWI,AMS,44
1774,VCE,AMS,44
960,KEF,AMS,44
1331,ORY,FAO,43
1792,VLC,ORY,43
1740,TRD,OSL,43
1272,NTE,CDG,42
777,FCO,MAD,42
612,CHQ,AMS,42
1642,SPU,AMS,41
528,CDG,LPA,41
73,AMS,BFS,41
1335,ORY,FSC,41
1517,RHO,AMS,40
1339,ORY,HER,40
335,BFS,CDG,39
472,CDG,BFS,39
1138,MAD,LCG,38
1713,TLS,AMS,37
1245,NAP,CDG,37
902,HER,ORY,37
1639,SOU,AMS,37
1026,LGW,ORY,36
1426,OSL,TRD,36
923,IBZ,MAD,36
915,HUY,AMS,36
1235,MXP,AMS,36
867,HAJ,AMS,36
1137,MAD,IBZ,36
1467,PMO,FCO,36
1089,LUX,AMS,35
1931,ZAG,AMS,35
1685,TFS,AMS,35
11,ABZ,BGO,35
920,IBZ,CDG,35
821,FUE,ORY,35
654,CPH,TRF,34
1176,MJT,AMS,34
713,DUS,LIN,34
1732,TRD,AMS,34
1009,LBA,AMS,33
1363,ORY,OLB,33
1356,ORY,MAH,33
965,KGS,AMS,33
1271,NTE,AMS,32
1409,OSL,BGO,32
1194,MRS,AMS,32
1349,ORY,LGW,32
1030,LHR,LDY,32
758,FCO,BCN,32
1306,ORY,ATH,32
1288,OLB,ORY,32
930,INV,AMS,31
1361,ORY,NAP,31
1053,LIN,ORY,31
1790,VLC,CDG,31
1145,MAD,TFN,31
1368,ORY,PGF,30
1248,NAP,ORY,30
1643,SPU,CDG,30
1310,ORY,BER,30
1132,MAD,BIO,30
1296,ORK,AMS,30
1522,RIX,AMS,29
1153,MAH,ORY,29
1485,PUF,CDG,29
763,FCO,BRU,29
1291,OPO,CDG,28
218,ARN,BGO,28
1772,VBY,ARN,28
1140,MAD,LPA,28
1351,ORY,LIN,27
1090,LUX,CDG,27
1408,OSL,ARN,27
1071,LLA,ARN,27
1932,ZAG,CDG,27
1333,ORY,FLR,26
1357,ORY,MLA,26
1177,MLA,AMS,26
1449,PGF,ORY,26
1370,ORY,PMO,25
992,KRS,AMS,25
1728,TOS,OSL,25
1184,MME,AMS,25
1816,WRO,AMS,25
1470,PMO,ORY,25
1474,POZ,AMS,24
1185,MMX,ARN,24
1244,NAP,AMS,24
1077,LPA,MAD,24
1043,LIN,CTA,24
67,AMS,AOK,24
215,AOK,AMS,24
456,CAG,ORY,23
1360,ORY,MXP,23
1378,ORY,RHO,23
